Age,Gender,City_Tier,Occupation,Income,Shopping_Frequency,Last_Purchase,Categories,Purchase_Influence,Browsing_Time,Cart_Abandonment,Habit_Type,Pre_Purchase_Action,Decision_Style,Mood,Mood_Impact,Emotional_Frequency,Impulse_Behavior,Stress_Purchases,Happy_Purchases,Shopping_Time,Shopping_Situations,Product_Combinations,Hesitation,Tradeoff,Priority,Value_Perception,Post_Purchase_Feeling,Privacy_Comfort,Data_Concern,AI_Trust,Monthly_Spend,Willingness_To_Spend_More,Interest_in_MoodCart
35-44,Prefer not to say,Tier 1,Other,20k-50k,Monthly,Today,Fashion,Price,30+,Rarely,Somewhat Planned,Buy Immediately,Emotional,Bored,Yes,Rarely,Sometimes,Fashion|Snacks|Electronics,Fashion,Morning,Salary|Stress,Clothing+Accessories|Gadgets+Accessories|Books+Coffee,Delivery Issues,Brand,Personalization,Discount,Guilty,Somewhat Comfortable,No Concerns,Low,1814,Yes,Maybe
45+,Prefer not to say,Tier 1,Other,>1L,Monthly,Today,Home Decor|Fashion|Electronics,Price,5-15,Rarely,Mostly Planned,Buy Immediately,Mixed,Bored,No,Sometimes,Sometimes,Fashion|Snacks,Fashion,Morning,Stress,Clothing+Accessories|Candles+Oils|Gadgets+Accessories,Just Browsing,Price,Personalization,Discount,Neutral,Somewhat Comfortable,Irrelevant Recommendations,Medium,21311,Yes,Maybe
25-34,Male,Tier 2,Business Owner,<20k,Weekly,>1 Month,Snacks|Wellness,Reviews,<5,Rarely,Rare,Compare Prices,Emotional,Sad,No,Never,Never,Snacks|Fashion|Electronics,Electronics,Afternoon,Sales,Candles+Oils,Just Browsing,Personalization,Quality,Quality,Satisfied,Not Comfortable,Irrelevant Recommendations,High,200,No,Maybe
Under 18,Female,Tier 2,Homemaker,<20k,Weekly,>1 Month,Home Decor,Discounts,15-30,Sometimes,Somewhat Planned,Compare Prices,Emotional,Stressed,Sometimes,Rarely,Never,Snacks,Wellness,Late Night,Sales,Books+Coffee|Candles+Oils,Too Many Options,Quality,Personalization,Discount,Happy,Somewhat Comfortable,Privacy,Low,2392,No,No
18-24,Male,Tier 2,Student,<20k,Daily,This Week,Wellness,Recommendations,30+,Sometimes,Somewhat Planned,Modify Cart,Logical,Stressed,No,Sometimes,Rarely,Fashion|Snacks,Fashion,Evening,Sales,Books+Coffee|Candles+Oils|Snacks+Beverages,Just Browsing,Quality,Quality,Quality,Happy,Somewhat Comfortable,Privacy,Low,1402,No,Maybe
25-34,Female,Tier 3,Working Professional,50k-1L,Monthly,This Month,Home Decor,Discounts,5-15,Sometimes,Mostly Planned,Check Reviews,Logical,Sad,Yes,Very Often,Often,Snacks,Snacks,Afternoon,Salary|Stress|Sales,Gadgets+Accessories|Books+Coffee|Candles+Oils,Delivery Issues,Personalization,Personalization,Emotional Satisfaction,Regretful,Not Comfortable,No Concerns,Low,8909,Yes,Maybe
Under 18,Prefer not to say,Tier 2,Other,50k-1L,Weekly,Today,Fashion,Discounts,30+,Never,Somewhat Planned,Buy Immediately,Logical,Happy,No,Very Often,Never,Snacks|Fashion,Home Decor,Afternoon,Salary|Festivals,Clothing+Accessories|Candles+Oils|Snacks+Beverages,Too Many Options,Brand,Delivery,Emotional Satisfaction,Neutral,Somewhat Comfortable,Misuse,High,10170,No,No
35-44,Female,Tier 3,Other,<20k,Weekly,Today,Electronics,Discounts,<5,Rarely,Somewhat Planned,Buy Immediately,Mixed,Happy,No,Rarely,Sometimes,Electronics,Snacks,Morning,Weekends,Gadgets+Accessories|Snacks+Beverages,Low Trust,Personalization,Personalization,Emotional Satisfaction,Happy,Very Comfortable,Irrelevant Recommendations,Low,200,No,Yes
35-44,Prefer not to say,Tier 3,Student,>1L,Weekly,>1 Month,Electronics,Brand,<5,Rarely,Habitual,Buy Immediately,Emotional,Happy,Sometimes,Never,Never,Electronics|Wellness|Snacks,Electronics,Evening,Weekends,Books+Coffee|Snacks+Beverages,Too Many Options,Price,Personalization,Recommendation,Satisfied,Very Comfortable,Privacy,Low,15993,Maybe,No
45+,Female,Tier 3,Business Owner,20k-50k,Weekly,Today,Electronics|Wellness,Recommendations,<5,Rarely,Mostly Planned,Buy Immediately,Mixed,Bored,Yes,Never,Sometimes,Snacks|Wellness|Home Decor,Home Decor,Late Night,Sales|Festivals,Snacks+Beverages|Books+Coffee,Delivery Issues,Delivery,Personalization,Discount,Regretful,Somewhat Comfortable,Privacy,Low,3043,Maybe,Maybe
25-34,Male,Tier 2,Student,<20k,Monthly,This Month,Fashion|Wellness,Recommendations,30+,Often,Habitual,Check Reviews,Logical,Sad,Yes,Never,Sometimes,Electronics|Fashion|Snacks,Wellness,Morning,Weekends,Books+Coffee,Just Browsing,Price,Personalization,Discount,Happy,Not Comfortable,No Concerns,Medium,952,Maybe,Yes
45+,Prefer not to say,Tier 1,Student,<20k,Monthly,Today,Electronics|Fashion,Recommendations,15-30,Never,Habitual,Compare Prices,Emotional,Happy,No,Rarely,Never,Electronics|Wellness,Fashion,Evening,Festivals|Weekends|Sales,Books+Coffee|Gadgets+Accessories,Too Many Options,Delivery,Price,Emotional Satisfaction,Regretful,Somewhat Comfortable,No Concerns,Medium,2581,Maybe,Maybe
18-24,Prefer not to say,Tier 2,Other,50k-1L,Monthly,This Month,Snacks|Electronics|Home Decor,Recommendations,30+,Rarely,Habitual,Buy Immediately,Mixed,Bored,Yes,Very Often,Often,Electronics|Fashion,Snacks,Afternoon,Festivals|Salary,Candles+Oils,Delivery Issues,Personalization,Brand,Quality,Neutral,Very Comfortable,Irrelevant Recommendations,Low,8766,Maybe,No
25-34,Prefer not to say,Tier 2,Working Professional,50k-1L,Daily,This Month,Snacks|Fashion|Wellness,Price,5-15,Often,Somewhat Planned,Buy Immediately,Logical,Happy,Yes,Very Often,Sometimes,Home Decor|Snacks|Electronics,Snacks,Morning,Festivals|Stress|Weekends,Snacks+Beverages|Clothing+Accessories,Just Browsing,Brand,Price,Quality,Happy,Not Comfortable,Misuse,Medium,12415,Maybe,Maybe
18-24,Prefer not to say,Tier 2,Student,50k-1L,Weekly,Today,Electronics|Snacks|Fashion,Price,15-30,Never,Somewhat Planned,Compare Prices,Mixed,Neutral,Yes,Never,Often,Electronics|Home Decor|Fashion,Snacks,Late Night,Salary|Sales|Weekends,Books+Coffee|Clothing+Accessories|Gadgets+Accessories,Too Many Options,Price,Personalization,Discount,Happy,Somewhat Comfortable,Privacy,Medium,13717,Yes,No
45+,Female,Tier 1,Other,<20k,Rarely,This Month,Wellness,Price,15-30,Sometimes,Habitual,Modify Cart,Emotional,Happy,Sometimes,Never,Often,Home Decor|Snacks|Wellness,Home Decor,Late Night,Stress|Sales,Snacks+Beverages|Clothing+Accessories,Low Trust,Brand,Personalization,Quality,Neutral,Somewhat Comfortable,Misuse,Medium,637,Yes,Yes
Under 18,Prefer not to say,Tier 2,Student,50k-1L,Rarely,>1 Month,Snacks,Discounts,30+,Never,Mostly Planned,Buy Immediately,Logical,Neutral,Yes,Rarely,Never,Fashion|Wellness,Home Decor,Late Night,Weekends,Gadgets+Accessories,Just Browsing,Brand,Delivery,Recommendation,Happy,Very Comfortable,No Concerns,Medium,8641,No,Yes
45+,Female,Tier 3,Student,<20k,Monthly,This Month,Electronics|Fashion,Reviews,30+,Sometimes,Mostly Planned,Check Reviews,Mixed,Bored,No,Never,Often,Electronics|Fashion,Electronics,Evening,Salary,Books+Coffee|Clothing+Accessories,Too Many Options,Personalization,Quality,Quality,Satisfied,Somewhat Comfortable,Misuse,Medium,795,No,No
Under 18,Male,Tier 3,Homemaker,50k-1L,Weekly,Today,Home Decor|Electronics,Recommendations,30+,Rarely,Mostly Planned,Compare Prices,Logical,Happy,No,Sometimes,Never,Fashion,Fashion,Late Night,Festivals,Gadgets+Accessories|Candles+Oils|Snacks+Beverages,Delivery Issues,Personalization,Brand,Recommendation,Guilty,Very Comfortable,Irrelevant Recommendations,Medium,10131,Yes,Maybe
35-44,Prefer not to say,Tier 1,Business Owner,<20k,Monthly,This Week,Snacks|Fashion,Price,5-15,Sometimes,Mostly Planned,Check Reviews,Emotional,Happy,Yes,Very Often,Rarely,Home Decor,Wellness,Late Night,Stress|Sales,Books+Coffee|Candles+Oils,Low Trust,Brand,Price,Recommendation,Guilty,Not Comfortable,No Concerns,High,3383,No,Maybe
45+,Prefer not to say,Tier 1,Homemaker,20k-50k,Weekly,This Month,Snacks,Recommendations,5-15,Often,Somewhat Planned,Modify Cart,Logical,Bored,Yes,Sometimes,Rarely,Snacks,Fashion,Evening,Festivals|Weekends,Clothing+Accessories|Candles+Oils|Gadgets+Accessories,Just Browsing,Price,Personalization,Discount,Satisfied,Somewhat Comfortable,Privacy,High,4726,Yes,Yes
35-44,Prefer not to say,Tier 1,Homemaker,20k-50k,Rarely,>1 Month,Fashion|Electronics,Brand,<5,Often,Rare,Compare Prices,Logical,Stressed,Sometimes,Very Often,Often,Fashion,Wellness,Late Night,Sales,Snacks+Beverages,High Price,Delivery,Brand,Recommendation,Regretful,Very Comfortable,Misuse,Medium,200,Yes,Maybe
45+,Prefer not to say,Tier 1,Homemaker,<20k,Monthly,Today,Fashion,Price,15-30,Rarely,Habitual,Compare Prices,Mixed,Bored,Yes,Very Often,Never,Fashion,Fashion,Evening,Salary|Weekends,Clothing+Accessories|Candles+Oils|Gadgets+Accessories,Delivery Issues,Quality,Quality,Recommendation,Neutral,Not Comfortable,Misuse,High,2815,Yes,Yes
Under 18,Male,Tier 1,Working Professional,50k-1L,Daily,>1 Month,Wellness|Home Decor,Discounts,5-15,Often,Habitual,Compare Prices,Logical,Stressed,Yes,Never,Never,Home Decor|Snacks|Electronics,Fashion,Afternoon,Weekends,Clothing+Accessories,Delivery Issues,Delivery,Quality,Quality,Happy,Somewhat Comfortable,Irrelevant Recommendations,High,11815,Yes,Yes
Under 18,Male,Tier 1,Student,>1L,Daily,This Month,Home Decor|Fashion,Recommendations,<5,Sometimes,Habitual,Check Reviews,Logical,Sad,Yes,Never,Sometimes,Home Decor|Electronics,Snacks,Morning,Salary|Weekends,Books+Coffee,Just Browsing,Delivery,Delivery,Discount,Regretful,Not Comfortable,No Concerns,Low,20738,Yes,Maybe
25-34,Prefer not to say,Tier 2,Homemaker,50k-1L,Daily,>1 Month,Home Decor,Reviews,5-15,Never,Rare,Compare Prices,Emotional,Bored,Sometimes,Never,Rarely,Home Decor|Snacks,Fashion,Evening,Sales,Books+Coffee|Clothing+Accessories,Just Browsing,Quality,Quality,Quality,Happy,Very Comfortable,Privacy,Medium,14745,Maybe,Maybe
25-34,Male,Tier 1,Other,>1L,Rarely,This Week,Wellness|Fashion,Brand,5-15,Often,Somewhat Planned,Compare Prices,Logical,Neutral,Yes,Sometimes,Never,Electronics,Home Decor,Late Night,Weekends,Gadgets+Accessories|Clothing+Accessories|Books+Coffee,Delivery Issues,Personalization,Quality,Recommendation,Regretful,Somewhat Comfortable,Irrelevant Recommendations,Medium,17193,Yes,No
45+,Prefer not to say,Tier 3,Business Owner,>1L,Daily,>1 Month,Snacks|Electronics,Price,15-30,Often,Somewhat Planned,Modify Cart,Emotional,Bored,Sometimes,Rarely,Rarely,Fashion,Electronics,Afternoon,Salary,Books+Coffee,High Price,Brand,Brand,Recommendation,Neutral,Not Comfortable,Misuse,Low,29056,Yes,Maybe
